Auteur;Identifiant auteur;Titre;Directeur de these;Directeur de these (nom prenom);Identifiant directeur;Etablissement de soutenance;Identifiant etablissement;Discipline;Statut;Date de premiere inscription en doctorat;Date de soutenance;Langue de la these;Identifiant de la these;Accessible en ligne;Publication dans theses.fr;Mise a jour dans theses.fr
Cyrille serge Atonfack guemo;;Reflexions sur le droit de la surete maritime : le cas des etats riverains du golfe de guinee;Armel Kerrest;Kerrest Armel;74993461;Brest;26403021;Droit public;enCours;21-09-2009;;;s20041;non;26-09-2011;17-04-2013
Walid El nabal;;Les transferts de creances a travers le prisme de la Convention des Nations-Unies sur la cession de creances dans le commerce international;Eric Savaux;Savaux Eric;34892133;Poitiers;26403765;Droit prive;enCours;01-02-2004;09-12-2010;;s14754;non;26-09-2011;05-04-2016
Alda Ayessa;;La francophonie et la protection des industries culturelles d'Afrique noire francophone : cas du Congo Brazzaville;Albert Lourde;Lourde Albert;80306373;Perpignan;26403692;Droit prive;enCours;01-01-2003;11-07-2013;;s8935;non;26-09-2011;12-04-2016
Alban Deberdt;;L'objet du capital social dans les societes.;Francoise Dekeuwer-Defossez;Dekeuwer-Defossez Francoise;26818094;Lille 2;26404389;Droit prive;enCours;01-12-2003;07-11-2011;;s10712;non;26-09-2011;04-04-2016
Ludiane Volpi;;De l'influence respective du juge penal et du juge civil;Yves Strickler;Strickler Yves;56260911;Strasbourg;131056549;Droit penal et sciences criminelles;enCours;01-12-2003;01-12-2009;;s10765;non;26-09-2011;14-11-2011
Frantz Jenot;;Etude prospective sur une filiere agricole territorialisee. Quel projet pour la filiere caprine de Poitou-Charentes ?;Yves Jean;Jean Yves;;Poitiers;26403765;Geographie;enCours;01-12-2003;07-03-2008;;s11818;non;26-09-2011;19-12-2011
Pum Huot;;La dollarisation et ses consequences economiques : le cas du Cambodge : le cas du cambodge.;Jean-Francois Goux;Goux Jean-Francois;26899361;Lyon 2;02640334X;Sciences economiques;enCours;01-05-2003;21-03-2008;;s11875;non;26-09-2011;04-04-2016
Sonia Altuna delgado;;La politique culturelle sous la revolution castriste.;Nestor Ponce;Ponce Nestor;;Rennes 2;54447658;Etudes hispaniques;enCours;10-11-2006;;;s18151;non;26-09-2011;22-01-2015
Joel Appriou;;L'eau domestique en ete sur le littoral du morbihan : gestion et conflits d'usage.;Herve Regnauld;Regnauld Herve;28822277;Rennes 2;54447658;Geographie;enCours;10-11-2006;;;s18171;non;26-09-2011;05-04-2016
Celine Adout;;Fracture numerique et usages des technologies de l'information communication dans l'enseignement superieur. l'introduction des tic au sein du reesao : impacts institutionnels, scientifiques et educatifs.;Yves Chevalier;Chevalier Yves;;Rennes 2;54447658;Sciences de l'information et de la communication;enCours;10-11-2006;;;s18174;non;26-09-2011;22-01-2015
Zlatka Denie (Atanasova);;Jugements de responsabilite et attribution de sanction : l'influence des motivations a punir (ou philosophies penales).;Alain Somat;Somat Alain;52202119;Rennes 2;54447658;Psychologie;enCours;10-11-2006;;;s18175;non;26-09-2011;22-01-2015
Thuraya Al zoubi;;Impact de ladhesion de la Jordanie a lorganisation mondiale du commerce sur ses lois internes;Jean-Yves de Cara;Cara Jean-Yves de;50128094;Paris 5;26404788;Droit public;enCours;12-12-2006;29-09-2011;;s18192;non;26-09-2011;05-04-2016
Shakir Alsaadi;;Marx, feuerbach et la theologie;Bernard Mabille;Mabille Bernard;;Poitiers;26403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;20-02-2007;;;s18208;non;26-09-2011;22-01-2015
Francisco Alavez segura;;Developpement toutistique et durabilite;Maria Gravari-Barbas;Gravari-Barbas Maria;71587683;Angers;26402920;Geographie;enCours;01-12-2006;;;s18228;non;26-09-2011;05-04-2016
Sarah Avril;;Les principes generaux du droit communautaire et le juge administra;Armel Pecheul;Pecheul Armel;27062023;Angers;26402920;Droit public;enCours;01-12-2006;;;s18229;non;26-09-2011;22-01-2015
Rouheddin Kordalivand;;L'actualite juridique de l'esclavage.;Michel Masse;Masse Michel;;Poitiers;26403765;Droit penal et sciences criminelles;enCours;01-05-2004;;;s14848;non;26-09-2011;10-09-2014
Jean Akl;;Les biens maritimes au liban situation et solutions.;Sylvie Caudal;Caudal Sylvie;67298788;Lyon 3;26404494;Droit public;enCours;01-01-2004;04-07-2011;;s14861;non;26-09-2011;27-01-2012
Faycal Bouzennout;;Le double effet du phenomene terroriste sur le droit international humanitaire;Serge Sur;Sur Serge;;Paris 2;26403145;Droit international;enCours;01-01-2003;15-12-2011;;s9147;non;26-09-2011;04-04-2016
Jeremy Morvan;;Investissement socialement responsable definitin respect et impact des criteres ethiques dans la gestion de valeurs mobilieres.;Christian Cadiou;Cadiou Christian;30224187;Brest;26403021;Sciences de gestion;enCours;01-02-2003;29-11-2005;;s8436;non;26-09-2011;27-02-2012
Angelique Tourtin (Mafille);;La notion d'acte administrative unilateral.;Mathieu Doat;Doat Mathieu;70707057;Brest;26403021;Droit public;enCours;01-12-2004;05-12-2011;;s8437;non;26-09-2011;24-02-2012
Mohcin Mansour;;L'interaction entre democratie et developpement. Contribution a l'etude historique du developpement economique et du changement politique au Maroc;Didier Baisset;Baisset Didier;109048350;Perpignan;26403692;Droit public;enCours;01-12-2002;13-07-2011;;s12206;non;26-09-2011;18-07-2013
Linda Ben Fekih;;Monitoring electronique : attitudes et comportements. Cas des centres d'appels;Frederic Wacheux;Wacheux Frederic;34479694;Paris 9;27787109;Sciences de gestion;enCours;01-05-2003;10-10-2012;;s6684;non;26-09-2011;04-04-2016
Roula Al daia;;Developpement durable et entreprises : nouvelles approches et nouvel impact technologique. Le cas de l'industrie automobile en France;Marc Guillaume;Guillaume Marc;;Paris 9;27787109;Sciences economiques;enCours;01-05-2003;26-01-2007;;s6685;non;26-09-2011;06-02-2012
Laurie Freger;;Les frais de justice sous l'ancien regime dans les juridictions normandes et bretonnes.;Marie-Yvonne Crepin;Crepin Marie-Yvonne;77004345;Rennes 1;02778715X;Histoire du droit et des institutions;enCours;01-02-2003;02-12-2006;;s6787;non;26-09-2011;06-04-2016
Caroline Tardot;;L'evaluation des salaries en droit du travail.;Jean-michel Gasse;Gasse Jean-michel;;Universite de Lorraine;157040569;Droit prive;enCours;01-11-2004;;;s10453;non;26-09-2011;28-06-2013
Ekaterina yurievna Rachedi (Myslivets);;Relations auteur-traducteur-lecteur a travers l'art de la traduction et la communication interculturelle.;Rene Agostini;Agostini Rene;60917423;Avignon;26369044;Sciences du langage;enCours;01-10-2003;26-11-2008;;s12700;non;26-09-2011;05-04-2016
Matthieu Develay;;Le role des motifs dans le droit contemporain des contrats.;Denis Mazeaud;Mazeaud Denis;31706460;Rennes 1;02778715X;Droit prive;enCours;01-02-2003;29-09-2009;;s6791;non;26-09-2011;04-04-2016
Nicolas Kermabon;;Le douaire des duchesses de bretagne du x au xvi siecle.;Christiane Plessix-Buisset;Plessix-Buisset Christiane;29128315;Rennes 1;02778715X;Histoire du droit et des institutions;enCours;01-01-2003;06-12-2007;;s6804;non;26-09-2011;05-04-2016
Julia Bastide;;Caracterisation des echanges morphosedimentaires aux abords des estuaires macrotidaux.;Edward Anthony;Anthony Edward;;Littoral;30969379;Geographie physique;enCours;01-01-2003;31-03-2011;;s8630;non;26-09-2011;07-02-2012
Pierre-gael Baron;;Les instruments juridiques de la regulation pharmaceutique.;Emmanuel Cadeau;Cadeau Emmanuel;53520777;Nantes;26403447;Droit public;enCours;01-01-2004;24-10-2012;;s13277;non;26-09-2011;04-04-2016
Francois Gaudin;;Maurice LACHATRE (1814-1900) : Portrait d'un editeur et lexicographe socialiste.;Jean-Yves Mollier;Mollier Jean-Yves;27033732;Versailles-St Quentin en Yvelines;03082057X;Histoire moderne et contemporaine;enCours;01-04-2004;05-10-2004;;s13393;non;26-09-2011;04-04-2016
Valerie Valey;;La construction d'une politique coloniale : la france en afrique orientale dans la seconde moitie du xix siecle.;Olivier Petre-Grenouilleau;Petre-Grenouilleau Olivier;34420533;Lorient;05017746X;Histoire;enCours;01-11-2004;;;s7027;non;26-09-2011;30-03-2015
Ekaterina Andreeva;;Les pratiques des touristes russes en France : analyse comparee du XIXeme siecle a nos jours.;Philippe Violier;Violier Philippe;51621770;Angers;26402920;Geographie;enCours;01-07-2003;02-11-2006;;s7074;non;26-09-2011;21-12-2011
Veronique Imbert;;Etude des effets de l'age et de la connotation affective de l'information en fonction du niveau de conscience a l'encodage;Brigitte Le Bouedec;Le Bouedec Brigitte;82024065;Angers;26402920;Psychologie;enCours;01-02-2002;07-12-2004;;s7087;non;26-09-2011;05-04-2016
Alexandra Kladaki (Motsenigou);;Constantin Karyotakis traducteur : un mediateur entre cultures;Marie-Paule Masson-Vincourt;Masson-Vincourt Marie-Paule;32942060;Montpellier 3;26404702;Sciences du langage;enCours;01-03-2003;01-02-2007;;s9282;non;26-09-2011;04-04-2016
Thomas Fontaine;;Les garanties en financement de projet.;Dominique Legeais;Legeais Dominique;02930153X;Paris 5;26404788;Droit prive;enCours;01-10-2003;28-11-2008;;s11588;non;26-09-2011;05-01-2012
Catherine Menciassi (Authier);;De Tancrede a norma, la construction d'une Diva internationale: giuditta Pasta (1797-1865);Jean-Yves Mollier;Mollier Jean-Yves;27033732;Versailles-St Quentin en Yvelines;03082057X;Histoire;enCours;01-05-2004;09-03-2009;;s13504;non;26-09-2011;04-04-2016
Frederic Chataigner;;Les editions Alain Moreau et la Pensee Universelle : un essai d'industrialisation du compte d'auteur dans les annees 1970-1990;Jean-Yves Mollier;Mollier Jean-Yves;27033732;Versailles-St Quentin en Yvelines;03082057X;Histoire;enCours;01-05-2004;28-09-2007;;s13505;non;26-09-2011;04-04-2016
Arnaud Francois;;Bergson et l'ontologie de la volonte.;Frederic Worms;Worms Frederic;31296971;Lille 3;26404524;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-06-2003;06-12-2005;;s7583;non;26-09-2011;04-04-2016
Wen-chi Lu;;Contribution au suivi automatique de trajectoires par un avion : commande plate et reseaux de neurones.;Felix Mora-Camino;Mora-Camino Felix;31071627;Toulouse 2;26403994;Informatique;enCours;01-07-2003;12-12-2005;;s9871;non;26-09-2011;04-04-2016
Tarik Khoutaif;;Etude et modelisation des liens synchrones bluetooth pour une architecture des systemes temps reels communicants.;Thierry Val,Fabrice Peyrard;Val Thierry,Peyrard Fabrice;113464657,171816;Toulouse 2;26403994;Mathematiques et informatique appliquees aux sciences sociales (miass);enCours;01-07-2003;11-07-2007;;s9888;non;26-09-2011;04-04-2016
Anis Bennani;;Lide et son impact sur la croissance cas de leconomie tunisienne;Bertrand Maximin;Maximin Bertrand;69324514;Paris 5;26404788;Sciences economiques;enCours;01-09-2003;29-09-2011;;s11632;non;26-09-2011;06-12-2011
Antoine Sfeir;;Le terrorisme : quelle conception apres le 11 septembre 2001.;Edmond Jouve;Jouve Edmond;26941848;Paris 5;26404788;Science politique;enCours;01-02-2003;07-06-2007;;s11638;non;26-09-2011;16-11-2011
Wael Abdallah;;Le compte bancaire : analyse comparee des droits francais et libanais.;Alexis Constantin;Constantin Alexis;76655822;Rennes 1;02778715X;Droit prive;enCours;01-03-2003;09-02-2010;;s11657;non;26-09-2011;04-04-2016
Hakem Alserhan;;La definition du crime contre l'humanite dans la jurisprudence des tribunaux penaux internationaux ad hoc;Bernadette Aubert;Aubert Bernadette;;Poitiers;26403765;Droit penal et sciences criminelles;enCours;01-03-2003;11-07-2011;;s11795;non;26-09-2011;28-03-2012
Mehdi Kamel Saghian;;L'evolution des droits de la victime dans les procedures penales francaise et iranienne.;Michel Masse;Masse Michel;;Poitiers;26403765;Droit penal et sciences criminelles;enCours;01-07-2003;07-09-2009;;s11802;non;26-09-2011;28-03-2012
Sylwia Ozdowska;;Alibis, un systeme d'alignement bilingue a base de regles de propagation syntaxique.;Marie-Paule Pery-Woodley;Pery-Woodley Marie-Paule;32547196;Toulouse 2;26403994;Sciences du langage;enCours;01-02-2003;14-12-2006;;s10083;non;26-09-2011;05-04-2016
Jihad Rizkallah;;Les joint ventures.;Herve Lecuyer;Lecuyer Herve;54375363;Paris 2;26403145;Droit prive;enCours;01-10-2003;;;s14106;non;26-09-2011;29-03-2013
Jad Khalike;;Le traitement fiscal compare des benefices des societes de capitaux (France, Liban, Belgique, Dubai et Royaume- Uni);Jean-Pierre Fradin;Fradin Jean-Pierre;07414524X;Poitiers;26403765;Droit public;enCours;01-01-2004;14-11-2008;;s14121;non;26-09-2011;05-04-2016
Helene Bovyn;;Le conflit entre le droit interne et les obligations internationales de l'Etat - Point de vue du droit international;Jean Combacau;Combacau Jean;26796007;Paris 2;26403145;Droit international;enCours;01-01-2004;01-12-2011;;s14129;non;26-09-2011;04-04-2016
Nadia Bantiti;;Les droits de l'enfant. Etude de droit public;Pascal Mbongo;Mbongo Pascal;50656686;Poitiers;26403765;Droit public;enCours;01-01-2004;21-03-2012;;s14148;non;26-09-2011;28-03-2012
Mehmet manifi Bayram;;L'adaptation des entreprises economiques publiques (e.e.p.) a la reglementation communautaire dans la perspective de l'adhesion de la turquie a l'union europeenne;Jean-pierre Chevalier;Chevalier Jean-pierre;;Poitiers;26403765;Science politique;enCours;01-02-2004;13-04-2001;;s14179;non;26-09-2011;28-03-2012
Jennifer Capitaine;;Le principe de legalite penale dans les droits europeens.;Jacqueline Flauss-Diem;Flauss-Diem Jacqueline;71394303;Amiens;26403714;Droit penal et sciences criminelles;enCours;01-10-2004;03-12-2011;;s16338;non;26-09-2011;05-04-2016
Juliette Vanard;;Le droit de la distribution a l'epreuve d'internet.;Alexis Constantin;Constantin Alexis;76655822;Rennes 1;02778715X;Droit prive;enCours;01-10-2004;13-05-2009;;s16851;non;26-09-2011;04-04-2016
Gilles Deshayes;182410528;Le cellier medieval en Normandie orientale : contribution a l'etude des utilisations, implantations et architectures des caves et celliers dans la Normandie orientale du second Moyen Age, principalement dans les etablissements monastiques;Anne-Marie Flambard Hericher;Flambard Hericher Anne-Marie;03392337X;Rouen;26403919;Histoire et archeologie medievales;soutenue;;01-01-2015;fr;2015ROUEL001;non;26-09-2011;31-07-2015
Rodrigue Abi-khalil;;Les repercussions de la mondialisation sur le droit international : d'un droit international a un droit mondial.;Jean-pierre Dhommeaux,Raymond Haddad;Dhommeaux Jean-pierre,Haddad Raymond;,;Rennes 1;02778715X;Science politique;enCours;14-12-2007;;;s18566;non;26-09-2011;22-01-2015
Cecile-marie Simoni;;Les problemes juridiques poses par les emissions de tele-realite.;Jean-Claude Acquaviva;Acquaviva Jean-Claude;31362621;Corte;29473284;Droit public;enCours;01-11-2004;;;s17263;non;26-09-2011;05-04-2016
Ramassinga Talla;;L'union europeenne et l'octroi du droit d'asile aux ressortissants africains;Dominique Breillat;Breillat Dominique;34629564;Poitiers;26403765;Droit public;enCours;01-09-2002;21-07-2011;;s17345;non;26-09-2011;28-03-2012
Gilles Arbousset;;Le traitement de la croisade contre les albigeois dans les manuels de l'ecole primaire.;Philippe Martel;Martel Philippe;;Montpellier 3;26404702;Etudes occitanes;enCours;01-11-2005;;;s17735;non;26-09-2011;22-01-2015
Vincent Audru;;Les catholiques dans le diocese de poitiers de 1918 a 1936.;Gerard Baal;Baal Gerard;32897979;Poitiers;26403765;Histoire des religions;enCours;02-06-2006;;;s17758;non;26-09-2011;06-04-2016
Christiane Alvarez;;Voyage et transgression dans l'oeuvre d'alfredo bryce echenique;Maryse Renaud;Renaud Maryse;34119590;Poitiers;26403765;Etudes hispano-americaines;enCours;01-11-2005;;;s17778;non;26-09-2011;22-01-2015
Stephane Abadie;;Sport, dependances et toxicomanie;Bernard Andrieu;Andrieu Bernard;;Universite de Lorraine;157040569;Histoire des sciences et des techniques;enCours;21-11-2005;;;s17802;non;26-09-2011;28-06-2013
Samvibol Chin;;Tourisme et developpement economique en asie du sud est : une analyse critique des cas du cambodge et du laos.;Paul-Marie Romani;Romani Paul-Marie;34388664;Corte;29473284;Sciences economiques;enCours;14-11-2007;;;s27057;non;26-09-2011;05-04-2016
Emma Bell;;"L'etat britannique entre le social et le carceral : une etude du ""tournant punitif"" de la politique penale neo-travailliste (1997-2007)";Keith Dixon;Dixon Keith;;Lyon 2;02640334X;Etudes anglophones;enCours;01-02-2004;29-11-2008;;s20392;non;26-09-2011;06-10-2014
Waleed Ali;;L'influence de la conception du journalisme en ligne et le multimedia sur la credibilite des nouvelles;Mohamed Hassoun;Hassoun Mohamed;;Lyon 2;02640334X;Sciences de l'information et de la communication;enCours;05-01-2009;28-06-2013;;s18940;non;26-09-2011;30-03-2016
Jacques Rodrigue Akou Meyong;;Madrid comme espace poetique chez Lope de Vega : las ferias de Madrid et el acero de Madrid;Narciso Alba;Alba Narciso;32793766;Perpignan;26403692;Etudes iberiques et latino americaines;enCours;27-01-2009;26-06-2014;;s19016;non;26-09-2011;12-04-2016
Marie Adrian;;Structures liturgiques du haut moyen age dans l'architecture romane meridionale;Francoise Robin;Robin Francoise;;Montpellier 3;26404702;Histoire de l'art;enCours;15-10-2008;;;s19033;non;26-09-2011;22-01-2015
Aman ghelich Atabaei;;Marche interbancaire et contagions en periode de crise financiere.;Daniel Goyeau,Catherine Lubochinsky;Goyeau Daniel,Lubochinsky Catherine;56244096,0288092;Poitiers;26403765;Sciences economiques;enCours;26-11-2009;;;s19417;non;26-09-2011;22-01-2015
Catherine Burtin;;L'imade du corps dans l'oeuvre d'anne hebert et jean marie gustave la clezio;Arlette Bouloumie;Bouloumie Arlette;29037441;Angers;26402920;Litteratures francaise et francophone;enCours;01-12-2006;;;s21624;non;26-09-2011;05-04-2016
Bertrand Baldet;;Le risque et son discours - les politiques de prevention dans le btp;Jean-Claude Lugan;Lugan Jean-Claude;02699769X;Toulouse 1;26404354;Sociologie;enCours;06-11-2006;;;s21626;non;26-09-2011;05-04-2016
Samuel Brosset;;Les contextes d'interaction et d'integration des reseaux d'information islandais, entre rythme, contrainte et identite  ses limites et son exemplarite.;Catherine Bernie-Boissard,Dominique Crozat;Bernie-Boissard Catherine,Crozat Dominique;32713126,0562644;Montpellier 3;26404702;Geographie;enCours;31-10-2006;;;s21628;non;26-09-2011;05-04-2016
Anne-laure Briatte;;Le mouvement feministe radical allemand et le cas de minna cauer (1841-1922);Monique Mombert;Mombert Monique;57447659;Strasbourg;131056549;Etudes germaniques;enCours;01-12-2006;09-12-2011;;s21641;non;26-09-2011;16-01-2012
Cecile Chauvire;;L'ancienne aristocratie republicaine de l'assassinat de cesar a la mort d'auguste, histoire et memoire des grandes familles dans le jeu politique de l'epoque augusteenne.;Frederic Hurlet;Hurlet Frederic;;Nantes;26403447;Histoire ancienne;enCours;29-01-2008;;;s27187;non;26-09-2011;22-01-2015
Maria Cerullo;;Alphonse Daudet : romancier de famille;Anne-Simone Dufief;Dufief Anne-Simone;34482318;Angers;26402920;Litteratures et civilisations comparees;enCours;16-01-2008;24-05-2013;;s27196;non;26-09-2011;05-04-2016
Pierre Clement;;Reformer les programmes pour changer l'ecole. Une sociologue histoirique du champ du pouvoir scolaire.;Bertrand Geay;Geay Bertrand;;Amiens;26403714;Sociologie;enCours;31-01-2008;11-03-2013;;s27205;non;26-09-2011;20-06-2013
Mokhtar Ben mahmoud;;Dutch disease et politique d'integration regionale dans les pays du golfe.;Philippe Norel;Norel Philippe;28618467;Poitiers;26403765;Sciences economiques;enCours;01-11-2004;;;s16957;non;26-09-2011;21-01-2015
Elvire Guillaud;;Economie politique du modele social europeen : une comparaison france-allemagne.;Donatella Gatti;Gatti Donatella;69042950;Lyon 2;02640334X;Sciences economiques;enCours;01-12-2004;30-09-2008;;s16964;non;26-09-2011;30-03-2016
Gofel anicet Ngoulou;;Une analyse comparative des modes de gouvernance d'entreprise.;Olivier Bouba-Olga;Bouba-Olga Olivier;60384778;Poitiers;26403765;Sciences economiques;enCours;01-12-2004;;;s16967;non;26-09-2011;05-04-2016
Paulo De assuncao;;La trame et le drame : la pensee economique du Pretre Antonio Vieira;Bernard Vincent;Vincent Bernard;;Paris, EHESS;26374889;Histoire;enCours;01-02-2004;13-01-2011;;s15639;non;26-09-2011;24-02-2012
Aurelie Pomes;;Le feminin dans la creation.;Michel Lapeyre;Lapeyre Michel;;Montpellier 3;26404702;Psychologie;enCours;01-11-2004;;;s16000;non;26-09-2011;21-01-2015
Anny Chastang;;La parole poetique en proces : insistance de la faute chez philippe saccottet.;Bernard Salignon;Salignon Bernard;32278632;Montpellier 3;26404702;Psychologie;enCours;01-11-2004;;;s16003;non;26-09-2011;21-01-2015
Yanna Bambouvert;;Acquisiton de la morphosyntaxe chez les sujets attients du syndrome de williams.;Manuel Jimenez;Jimenez Manuel;;Montpellier 3;26404702;Psychologie;enCours;01-10-2004;;;s16008;non;26-09-2011;25-03-2016
Muriel Moussu;;Lire avec la psychanalyse, declinaisons et passages;Bernard Salignon;Salignon Bernard;32278632;Montpellier 3;26404702;Psychanalyse;enCours;01-11-2004;;;s16013;non;26-09-2011;21-01-2015
Helene Mimet;;Etude des correlations entre art et folie.;Bernard Salignon;Salignon Bernard;32278632;Montpellier 3;26404702;Psychologie;enCours;01-11-2004;;;s16014;non;26-09-2011;21-01-2015
Patrice Margot;;Un depassement de l'opposition psychogenese - organogenese dans la theorie du symptome humaine est-il possible ?;Jean-Claude Maleval;Maleval Jean-Claude;27003965;Rennes 2;54447658;Psychologie;enCours;01-11-2004;;;s16029;non;26-09-2011;04-04-2016
Laurence Nogaret;;Fondements theoriques et mise en application de l'interdisciplinarite dans les itiniraires de decouverte dans un college du gard (2004-2006).;Richard Etienne;Etienne Richard;;Montpellier 3;26404702;Sciences de l'education;enCours;01-11-2004;;;s16031;non;26-09-2011;21-01-2015
Ines ninon Lomba mombo;;L'estime de soi au sein de l'organisation.;Benedicte Gendron;Gendron Benedicte;69903905;Montpellier 3;26404702;Sciences de l'education;enCours;01-11-2004;;;s16036;non;26-09-2011;05-04-2016
Katia Simeon;;Du devenir adolescent a la delinquance : quelles approches cliniques et psychopatholgoiques ?;Francois Sauvagnat;Sauvagnat Francois;29635985;Rennes 2;54447658;Psychologie;enCours;01-11-2004;;;s16039;non;26-09-2011;04-04-2016
Audrey Assoune;;L'accompagnement entrepreneurial : un passage par la compatibilite des styles au sein de la dyade accompagnateur-entrepreneur;Patrick Valeau,Pierre Louart;Valeau Patrick,Louart Pierre;146324773,030733;La Reunion;26404451;Sciences de gestion;enCours;01-10-2005;10-12-2009;;s17808;non;26-09-2011;05-04-2016
Samuel Bouron;;Les savoirs professionnels et leur apprentissage dans le secteur de la diffusion culturelle.;Bertrand Geay,Laurent Willemez;Geay Bertrand,Willemez Laurent;0,066916615;Amiens;26403714;Sociologie;enCours;12-02-2009;;;s23467;non;26-09-2011;22-01-2015
Faten Yaqoobi (Bahadly);;Le retour du mythe sur la scene theatrale francaise du xxeme siecle.;Thanh-von Ton-that;Ton-that Thanh-von;;Pau;26403668;Litteratures francaise et francophone;enCours;16-02-2009;;;s23493;non;26-09-2011;22-01-2015;
